patient_name,patient_email,password
Jake,jack@gmail.com,cs1531
Tom,tom@gmail.com,cs1531
Isaac,isaac@gmail.com,cs1531
Hao,hao@gmail.com,cs1531
Jasmine,jasmine@gmail.com,cs1531
Isabella,isabella@gmail.com,cs1531
Ivy,ivy@gmail.com,cs1531
Fangyi,fangyi@gmail.com,cs1531
Tutor,tutor@gmail.com,cs1531
Iamsick,iamsick@gmail.com,cs1531
Ineeddoctor,ineeddoctor@gmail.com,cs1531
Disease,disease@gmail.com,cs1531
Andrea,andrea@gmail.com,cs1531
Andrew,andrew@gmail.com,cs1531
Jenn,jenn@gmail.com,cs1531
Isa,isa@gmail.com,cs1531
Mathrew,matthew@gmail.com,cs1531
Tammy,tammy@gmail.com,cs1531
Ian,ian@gmail.com,cs1531
Ed,ed@gmail.com,cs1531
Iachlan,lachlan@gmail.com,cs1531
Alec,alec@gmail.com,cs1531
Aneeke,aneeke@gmail.com,cs1531
Torress,torress@gmail.com,cs1531
Ronaldo,ronaldo@gmail.com,cs1531
Jay,jay@gmail.com,cs1531
Steve,steve@gmail.com,cs1531
Kylie,kylie@outlook.com,cs1531
Hello,hello@outlook.com,cs1531
