provider_email,health_centre_name
toby@gmail.com,Sydney Children Hospital
toby@gmail.com,UTS Health Service
samuel@gmail.com,Prince of Wales Hospital
sid@gmail.com,Royal Prince Alfred Hospital
michael@gmail.com,USYD Health Service
anna@gmail.com,UTS Health Service
thomas@gmail.com,Prince of Wales Hospital
ian@gmail.com,Sydney Children Hospital
gary@gmail.com,Sydney Children Hospital
anna@gmail.com,Sydney Children Hospital
anna@gmail.com,Prince of Wales Hospital
gary@gmail.com,USYD Health Service
samuel@gmail.com,USYD Health Service
sid@gmail.com,Sydney Children Hospital
michael@gmail.com,Sydney Children Hospital
thomas@gmail.com,Royal Prince Alfred Hospital
ian@gmail.com,Prince of Wales Hospital
ian@gmail.com,UTS Health Service
toby@gmail.com,UNSW Health Service
anna@gmail.com,Royal Prince Alfred Hospital
michael@gmail.com,UNSW Health Service
gary@gmail.com,UNSW Health Service
samuel@gmail.com,Sydney Children Hospital
sid@gmail.com,USYD Health Service
iamdoctor@gmail.com,St Vincent's Hospital
doyouwantdoctor@gmail.com,St Vincent's Hospital
isabella@unsw.com,East Sydney Private Hospital
fangyi@unsw.com,USYD Health Service
ivy@unsw.com,East Sydney Private Hospital
jasmine@unsw.com,USYD Health Service
ian@unsw.com,Randwick Doctors Medical Centre
clare@unsw.com,Royal Prince Alfred Hospital
eric@unsw.com,Randwick Doctors Medical Centre
ed@unsw.com,Royal Randwick Medical Centre
kim@unsw.com,East Sydney Private Hospital
steve@unsw.com,USYD Health Service
amy@unsw.com,St Vincent's Hospital
iamdoctor@unsw.com,Royal Prince Alfred Hospital
aneeke@unsw.com,Randwick Doctors Medical Centre
tammy@unsw.com,UNSW Health Service
tomas@unsw.com,UNSW Health Service
trent@unsw.com,UTS Health Service
andrew@unsw.com,Sydney Children Hospital
andrea@unsw.com,St Vincent's Hospital
sam@unsw.com,USYD Health Service
isa@isa.bella,Randwick Doctors Medical Centre
tomas@unsw.com,UTS Health Service
iamdoctor@unsw.com,Randwick Doctors Medical Centre
sam@unsw.com,Sydney Children Hospital
eric@unsw.com,East Sydney Private Hospital
amy@unsw.com,UNSW Health Service
ed@unsw.com,USYD Health Service
kim@unsw.com,UTS Health Service
ian@unsw.com,Royal Randwick Medical Centre
doyouwantdoctor@gmail.com,Royal Prince Alfred Hospital
iamdoctor@gmail.com,Royal Prince Alfred Hospital
aneeke@unsw.com,Royal Randwick Medical Centre
tammy@unsw.com,UTS Health Service
fangyi@unsw.com,UNSW Health Service
ivy@unsw.com,UTS Health Service
isabella@unsw.com,USYD Health Service
jasmine@unsw.com,UNSW Health Service
trent@unsw.com,UNSW Health Service
eric@unsw.com,Royal Randwick Medical Centre
ian@unsw.com,USYD Health Service
isa@isa.bella,Prince of Wales Hospital
ivy@unsw.com,Sydney Children Hospital
iamdoctor@gmail.com,East Sydney Private Hospital
aneeke@unsw.com,UNSW Health Service
